longitude,latitude
142.56397053103967,13.798314086372148
142.33118975455784,13.818907132408322
142.09829718301324,13.839321169304126
141.8652940469032,13.859556355897778
141.63218157344238,13.879612849256567
141.39896098659796,13.899490804672347
141.16563350712363,13.919190375662668
140.9322003525949,13.938711713967532
140.69866273744364,13.958054969548666
140.46502187299245,13.977220290589454
140.23127896748974,13.996207823492696
139.99743522614378,14.01501771287896
139.7634918511579,14.033650101586712
139.5294500417644,14.052105130672292
139.29531099425935,14.070382939405901
139.06107590203703,14.088483665273387
138.8267459556244,14.10640744397515
138.5923223427154,14.12415440942364
138.3578062482052,14.141724693745815
138.12319885422477,14.159118427279264
137.88850134017505,14.17633573857338
137.65371488276128,14.193376754388597
137.41884065602707,14.210241599694594
137.18387983138868,14.22693039767214
136.94883357766935,14.243443269711307
136.71370306113303,14.259780335410657
136.4784894455188,14.275941712576971
136.24319389207483,14.291927517226194
136.00781755959244,14.307737863582162
135.77236160443985,14.32337286407448
135.53682718059633,14.338832629342091
135.30121543968627,14.354117268231597
135.06552753101266,14.36922688779303
134.82976460159125,14.384161593286487
134.5939277961841,14.398921488177674
134.3580182573337,14.413506674138379
134.1220371253965,14.42791725104557
133.88598553857648,14.442153316983266
133.64986463295898,14.456214968241989
133.4136755425445,14.470102299317023
133.17741939928194,14.483815402910144
132.94109733310256,14.497354369927573
132.70471047195298,14.510719289482125
132.46825994182947,14.523910248892143
132.23174686681054,14.536927333681223
131.99517236909108,14.549770627577468
131.75853756901543,14.562440212516695
131.5218435851107,14.574936168636334
131.28509153412048,14.587258574282588
131.04828253103756,14.599407506004743
130.8114176891379,14.611383038558586
130.57449812001337,14.623185244903873
130.33752493360507,14.634814196205898
130.10049923823658,14.646269961834875
129.8634221406473,14.657552609366373
129.62629474602522,14.66866220458025
129.3891181580403,14.67959881146219
129.15189347887733,14.690362492200878
128.9146218092692,14.700953307191165
128.67730424852982,14.711371315032522
128.43994189458704,14.721616572528049
128.20253584401564,14.73168913468613
127.96508719207051,14.741589054718078
127.72759703271909,14.751316384040889
127.49006645867473,14.760871172274099
127.25249656142924,14.770253467243055
127.01488843128604,14.779463314973716
126.77724315739249,14.788500759698554
126.53956182777323,14.797365843851304
126.3018455293626,14.806058608070972
126.0640953480375,14.81457909119545
125.82631236865014,14.822927330269046
125.58849767506078,14.831103360536405
125.35065235017024,14.839107215444502
125.11277747595277,14.846938926642256
124.87487413348865,14.854598523979035
124.63694340299676,14.862086035507218
124.39898636386717,14.869401487476894
124.16100409469408,14.876544904339667
123.9229976733078,14.883516308748977
123.68496817680764,14.890315721553794
123.44691668159493,14.896943161804591
123.20884426340452,14.903398646749787
122.97075199733827,14.909682191835405
122.73264095789688,14.915793810703656
122.49451221901293,14.921733515196465
122.25636685408301,14.927501315348938
122.01820593600029,14.933097219393613
121.78003053718686,14.93852123375694
121.54184172962663,14.943773363060041
121.30364058489717,14.948853610117503
121.06542817420248,14.953761975937878
120.82720556840556,14.958498459720134
120.58897383806045,14.963063058855052
120.35073405344492,14.96745576892489
120.11248728459272,14.971676583700923
119.87423460132618,14.975725495142772
119.63597707328852,14.979602493398746
119.397715769976,14.9833075668047
119.15945176077068,14.986840701880652
118.92118611497271,14.990201883334846
118.68291990183255,14.99339109405664
118.4446541905836,14.99640831511977
118.20639005047418,14.999253525780611
117.96812855080069,15.001926703475263
117.72987076093905,15.004427823821365
117.49161775037771,15.006756860612652
117.2533705887499,15.008913785823275
117.01513034586601,15.010898569601546
116.77689809174593,15.012711180271387
116.53867489665157,15.014351584331873
116.3004618311191,15.015819746450983
116.06225996599156,15.017115629473563
115.82407037245123,15.01823919440805
115.58589412205185,15.01919040043522
115.34773228675137,15.019969204901859
115.10958593894429,15.020575563321389
114.87145615149383,15.02100942936694
114.6333439977648,15.021270754879888
114.39525055165596,15.021359489860002
114.1571768876324,15.021275582464687
113.91912408075804,15.02101897901313
113.68109320672819,15.020589623976555
113.44308534190223,15.019987459984623
113.2051015633357,15.019212427816688
112.9671429488135,15.018264466404998
112.72921057688163,15.017143512830685
112.49130552688084,15.015849502322661
112.253428878978,15.014382368254294
112.01558171419977,15.012742042146368
111.77776511446466,15.010928453657302
111.53998016261582,15.008941530590052
111.3022279424537,15.006781198882415
111.06450953876882,15.00444738261026
110.8268260373742,15.001940003985245
110.58917852513864,14.999258983347934
110.3515680900188,14.996404239172605
110.11399582109247,14.993375688059928
109.87646280859113,14.990173244738457
109.63897014393292,14.986796822059112
109.4015189197553,14.98324633099795
109.164110229948,14.979521680646894
108.92674516968597,14.9756227782181
108.68942483546218,14.971549529040312
108.4521503251206,14.967301836554642
108.2149227378892,14.962879602312286
107.97774317441302,14.958282725975447
107.74061273678683,14.953511105310591
107.50353252858875,14.94856463619291
107.26650365491268,14.943443212594353
107.02952722240198,14.938146726590112
106.79260433928218,14.93267506835211
106.55573611539441,14.927028126147526
106.31892366222827,14.921205786335014
106.0821680929556,14.915207933365282
105.84547052246299,14.909034449776447
105.60883206738579,14.902685216191346
105.37225384614077,14.89616011131663
105.13573697896008,14.889459011939358
104.899282587924,14.882581792925455
104.66289179699496,14.875528327216097
104.4265657320504,14.868298485824624
104.19030552091668,14.860892137836393
103.95411229340232,14.853309150405032
103.71798718133168,14.845549388750097
103.4819313185785,14.837612716152757
103.24594584109933,14.82949899395749
103.0100318869675,14.821208081564526
102.77419059640641,14.812739836430591
102.5384231118236,14.804094114066876
102.3027305778442,14.795270768034385
102.06711414134482,14.786269649940781
101.8315749514873,14.777090609442151
101.59611415975274,14.767733494234419
101.36073291997513,14.758198150057275
101.12543238837537,14.748484420686509
100.89021372359521,14.738592147933216
100.65507808673131,14.728521171644212
100.42002664136899,14.71827132969331
100.18506055361665,14.707842457983242
99.95018099213947,14.69723439044579
99.71538912819403,14.686446959030981
99.48068613566174,14.675479993712386
99.24607319108387,14.664333322481152
99.01155147369502,14.653006771345158
98.77712216545788,14.641500164324189
98.54278645109736,14.629813323449534
98.30854551813476,14.6179460687621
98.0744005569224,14.605898218308903
97.84035276067783,14.593669588141124
97.60640332551826,14.581259992310642
97.37255345049518,14.568669242870474
97.13880433762857,14.55589714987053
96.90515719194178,14.542943521355536
96.67161322149579,14.529808163362754
96.43817363742374,14.516490879922108
96.20483965396606,14.50299147305097
95.97161248850445,14.489309742754411
95.73849336159688,14.475445487020782
95.50548349701249,14.46139850182301
95.27258412176604,14.447168581115013
95.03979646615268,14.4327555168272
94.80712176378267,14.418159098870222
94.57456125161664,14.403379115129775
94.34211617,14.38841535146303
94.10978776269788,14.37326759170308
93.87757727693021,14.357935617649403
93.64548596340646,14.342419209074315
93.41351507636051,14.326718143715217
93.18166587358611,14.310832197276614
92.94993961647104,14.294761143426898
92.7183375700329,14.278504753801439
92.48686100295367,14.26206279799234
92.25551118761501,14.245435043558615
92.02428940013313,14.228621256015947
91.79319692039391,14.211621198840515
91.5622350320883,14.194434633467312
91.33140502274672,14.17706131928809
91.10070818377497,14.159501013651823
90.87014581048903,14.141753471865638
90.63971920215005,14.123818447189688
90.40942966199961,14.105695690841443
90.17927849729529,14.087384951993137
89.94926701934493,14.068885977772991
89.71939654354283,14.050198513262377
89.4896683894041,14.031322301498419
89.26008388060038,14.01225708347376
89.03064434499488,13.993002598136133
88.80135111467732,13.97355858238919
88.5722055259994,13.95392477109321
88.34320891960976,13.934100897064303
88.11436264048947,13.914086691077728
87.88566803798666,13.893881881865548
87.65712646585206,13.873486196121716
87.42873928227431,13.852899358500053
87.2005078499144,13.8321210916163
86.97243353594143,13.81115111605009
86.74451771206739,13.789989150346598
86.51676175458238,13.768634911018738
86.28916704438932,13.747088112547635
86.06173496703929,13.725348467387372
85.83446691276657,13.703415685963812
85.60736427652351,13.681289476679677
85.38042845801499,13.658969545916946
85.15366086173425,13.636455598039996
84.92706289699692,13.613747335396708
84.7006359779761,13.59084445832416
84.47438152373759,13.567746665149969
84.24830095827365,13.544453652196651
84.02239571053866,13.520965113788213
83.79666721448318,13.497280742249407
83.57111690908872,13.473400227914727
83.34574623840214,13.449323259127652
83.12055665157024,13.425049522251326
82.89554960287421,13.400578701669408
82.67072655176361,13.375910479794078
82.44608896289101,13.351044537067754
82.22163830614623,13.325980551972815
81.99737605668994,13.300718201036931
81.77330369498816,13.275257158836924
81.54942270684603,13.249597098006504
81.32573458344183,13.223737689244814
81.10224082136043,13.197678601321751
80.8789429226272,13.171419501085872
80.65584239474161,13.14496005347175
80.4329407507106,13.118299921508825
80.21023950908193,13.091438766328077
79.98774019397759,13.064376247173307
79.76544433512673,13.037112021407228
79.54335346789861,13.009645744522407
79.32146913333621,12.981977070151292
79.09979287818774,12.9541056500735
78.87832625494056,12.92603113423047
78.65707082185274,12.897753170731688
78.436028142986,12.869271405869057
78.21519978823753,12.840585484127065
77.99458733337234,12.811695048192194
77.77419236005485,12.782599738970019
77.55401645588097,12.753299195594778
77.33406121440936,12.723793055441067
77.11432823519307,12.694080954139995
76.89481912381049,12.664162525592811
76.67553549189674,12.634037401982152
76.45647895717399,12.603705213789517
76.2376511434827,12.573165589810312
76.01905368081167,12.542418157168324
75.8006882053283,12.511462541331134
75.5825563594088,12.480298366129942
75.36465979166792,12.44892525377156
75.14700015698831,12.417342824859716
74.92957911655024,12.38555069841317
74.71239833786055,12.353548491879689
74.49545949478116,12.32133582116185
74.2787642675584,12.288912300630164
74.06231434285078,12.256277543147263
73.84611141375704,12.22343116008683
73.63015717984457,12.190372761355695
73.41445334717636,12.157101955413117
73.1990016283383,12.123618349297084
